time,angular velocity,torque,differential pressure,pressure 1,pressure 2
18:19:17,0.0,0.0,0.0,0.0,0.0
18:19:18,0.0,0.0,0.0,0.0,0.0
18:19:19,0.0,0.0,0.0,0.0,0.0
18:19:21,0.0,0.0,0.0,0.0,0.0
18:19:22,0.0,0.0,0.0,0.0,0.0
18:19:23,0.0,0.0,0.0,0.0,0.0
18:19:24,0.0,0.0,0.0,0.0,0.0
18:19:25,0.0,0.0,0.0,0.0,0.0
18:19:26,0.0,0.0,0.0,0.0,0.0
18:19:27,0.0,0.0,0.0,0.0,0.0
18:19:28,0.0,0.0,0.0,0.0,0.0
18:19:29,0.0,0.0,0.0,0.0,0.0
18:19:30,0.0,0.0,0.0,0.0,0.0
18:19:31,0.0,0.0,0.0,0.0,0.0
18:19:32,0.0,0.0,0.0,0.0,0.0
18:19:33,0.0,0.0,0.0,0.0,0.0
18:19:34,0.0,0.0,0.0,0.0,0.0
18:19:35,0.0,0.0,0.0,0.0,0.0
18:19:36,0.0,0.0,0.0,0.0,0.0
18:19:37,0.0,0.0,0.0,0.0,0.0
18:19:38,0.0,0.0,0.0,0.0,0.0
18:19:39,0.0,0.0,0.0,0.0,0.0
18:19:40,0.0,0.0,0.0,0.0,0.0
18:19:42,0.0,0.0,0.0,0.0,0.0
18:19:43,0.0,0.0,0.0,0.0,0.0
18:19:44,0.0,0.0,0.0,0.0,0.0
18:19:45,8.407790785948902e-44,5.510129769479473e-39,0.0,0.0,0.0
18:19:46,2.045895757914233e-43,1.3407982439066717e-38,0.0,0.0,0.0
18:19:47,1.7095841264762768e-43,1.1203930531274928e-38,0.0,0.0,0.0
18:19:48,7.567011707354012e-44,4.9591167925315254e-39,0.0,0.0,0.0
18:19:49,0.0,0.0,0.0,0.0,0.0
18:19:50,0.0,0.0,0.0,0.0,0.0
18:19:51,0.0,0.0,0.0,0.0,0.0
18:19:52,0.0,0.0,0.0,0.0,0.0
